LEAID,total_students,american_indian_alaskan_native_students,american_indian_alaskan_native_male_students,american_indian_alaskan_native_female_students,asian_hawaiian_native_pacific_islander_students,asian_hawaiian_native_pacific_islander_male_students,asian_hawaiian_native_pacific_islander_female_students,hispanic_students,hispanic_male_students,hispanic_female_students,black_non_hispanic_students,black_non_hispanic_male_students,black_non_hispanic_female_students,white_students,white_male_students,white_female_students
2200450,2616,1,1,-2,1,-1,0,13,4,7,1767,881,884,826,441,383
2200480,3865,1,1,0,4,3,1,13,7,6,1962,992,970,1885,965,920
2200510,5012,8,5,3,13,7,6,62,28,34,2747,1364,1383,2182,1130,1052
2200540,46394,19,-1,6,1105,570,521,662,357,291,35611,17857,17740,8941,4694,4233
2200570,1595,-1,-1,-2,4,3,-1,2,-1,1,1458,727,729,124,60,62
2200600,2343,2,0,2,0,0,0,0,0,0,1866,960,906,475,259,216
2200630,6040,0,-5,-5,5,-2,-3,21,8,3,2411,1262,1139,3563,1846,1707
2200660,3579,-3,-6,-3,6,0,0,15,6,3,1763,896,861,1774,897,871
2200690,3629,13,6,7,9,2,7,27,15,12,533,271,262,3047,1581,1466
2200720,14064,36,18,18,419,203,216,127,56,71,6079,3139,2940,7403,3782,3621
2200750,4286,3,2,1,4,2,2,35,19,16,3248,1682,1566,996,501,495
2200780,2296,2,1,1,7,6,1,18,9,9,843,417,426,1426,736,690
2200810,5840,86,45,41,20,11,9,16,11,5,1397,754,643,4321,2208,2113
2200840,51399,361,172,185,2309,1219,1086,4656,2357,2295,26720,13624,13092,17337,9170,8163
2200870,29806,77,37,30,394,207,177,492,236,246,12256,6175,6071,16547,8516,8021
2200900,14653,619,325,294,124,55,69,255,128,127,3238,1629,1609,10417,5462,4955
2200960,2673,19,6,11,1,0,-1,9,5,2,331,166,163,2305,1166,1137
2200990,6632,6,2,4,50,28,22,77,38,39,3320,1672,1648,3179,1640,1539
2201020,21395,34,13,19,48,15,31,177,89,86,1127,563,562,20001,10251,9748
2201050,2306,0,0,0,5,3,2,20,9,11,2070,1053,1017,211,128,83
2201080,9382,5,0,5,54,36,18,34,17,17,8268,4119,4149,1021,522,499
2201110,5109,2,1,1,12,5,7,17,12,5,3255,1629,1626,1823,953,870
2201140,6882,47,26,21,30,15,15,64,31,33,3772,1918,1854,2969,1526,1443
2201170,64914,32,10,16,1231,610,615,738,387,345,60712,30581,30125,2177,1113,1058
2201200,18326,10,3,5,130,49,79,149,73,74,5357,2741,2614,12672,6407,6263
2201230,5022,78,34,42,252,129,121,78,44,32,1665,844,819,2941,1558,1381
2201260,3007,0,0,-2,5,0,3,28,10,16,1897,934,961,1069,535,532
2201290,22845,202,105,93,250,130,116,330,162,164,9840,4979,4857,12207,6302,5901
2201320,1603,4,1,3,4,3,1,5,2,3,1088,562,526,502,267,235
2201350,3455,1,-2,1,2,1,-1,16,8,6,1939,1015,922,1489,748,739
2201380,4198,835,424,411,10,7,3,130,72,58,1058,558,500,2165,1134,1031
2201410,8802,100,43,57,207,116,91,356,189,167,1576,789,787,6563,3318,3245
2201440,9717,31,16,13,104,60,42,262,144,116,3532,1761,1769,5780,2998,2780
2201470,1364,0,0,0,4,1,3,4,1,3,1262,648,614,94,40,54
2201500,4022,0,0,0,3,1,2,18,7,11,2732,1351,1381,1269,664,605
2201530,6466,9,3,6,35,16,19,145,71,74,4873,2498,2375,1404,728,676
2201560,15154,4,-1,-3,47,18,21,44,22,14,8503,4307,4188,6524,3384,3132
2201590,8535,10,4,6,102,51,51,35,20,15,4037,2029,2008,4351,2294,2057
2201620,10123,81,37,44,204,113,91,232,121,111,4694,2308,2386,4912,2539,2373
2201650,35618,157,90,65,448,221,225,693,348,343,6430,3311,3117,27882,14413,13467
2201680,18561,21,7,12,89,47,40,281,148,131,8402,4250,4150,9760,5082,4676
2201710,894,0,0,0,0,0,0,14,9,5,794,422,372,86,57,29
2201740,19133,1643,845,796,228,117,109,269,137,130,5337,2752,2583,11648,5957,5689
2201770,3371,3,1,2,13,8,5,136,74,62,1373,735,638,1846,925,921
2201800,8995,12,8,4,265,137,128,106,50,56,1930,950,980,6682,3444,3238
2201830,9889,138,67,71,173,88,85,490,246,244,2002,1031,971,7086,3625,3461
