total_students,total_schools,teachers_total,total_revenue,total_federal_revenue,total_state_revenue,total_local_revenue,total_expenditure,total_salaries,white_students,lowest_grade,highest_grade,metro_micro,charter_status,state_name,LEAID,NAME,exist_five_years
8867.0,b'13   ',b'-1     ',63563000,4843000,41050000,17670000,61137000,33080000,8515.0,KG,12,1,3,alabama,0102010,LAUDERDALE CO SCH DIST,True
5650.0,b'17   ',b'-1     ',45750000,5990000,28215000,11545000,43683000,23703000,3473.0,PK,12,1,3,alabama,0102040,LAWRENCE CO SCH DIST,True
9455.0,b'12   ',b'634    ',70768000,5333000,41640000,23795000,66655000,36783000,6968.0,PK,12,1,3,alabama,0102070,LEE CO SCH DIST,True
8178.0,b'13   ',b'554.5  ',60376000,4677000,36200000,19499000,59233000,31638000,7009.0,KG,12,1,3,alabama,0102100,LIMESTONE CO SCH DIST,True
563.0,b'4    ',b'39     ',5020000,1242000,2865000,913000,5451000,3082000,1.0,KG,12,0,3,alabama,0102130,LINDEN CITY SCHOOL DIST,True
2309.0,b'9    ',b'164.5  ',23713000,6345000,13469000,3899000,26946000,10955000,13.0,KG,12,1,3,alabama,0102160,LOWNDES CO SCH DIST,True
3276.0,b'8    ',b'220    ',28846000,5285000,18448000,5113000,35023000,14676000,93.0,PK,12,2,3,alabama,0102190,MACON CO SCH DIST,True
17496.0,b'25   ',b'-1     ',128216000,9333000,77557000,41326000,135423000,67874000,13467.0,PK,12,1,3,alabama,0102220,MADISON CO SCH DIST,True
1615.0,b'5    ',b'126.3  ',13528000,2563000,8014000,2951000,12913000,6816000,250.0,KG,12,0,3,alabama,0102250,MARENGO CO SCH DIST,True
3658.0,b'11   ',b'248.2  ',27072000,2956000,17558000,6558000,26384000,14627000,3439.0,PK,12,0,3,alabama,0102310,MARION CO SCH DIST,True
1203.0,b'4    ',b'75.4   ',9665000,1335000,5479000,2851000,9195000,4976000,41.0,KG,12,1,3,alabama,0102350,MIDFIELD CITY SCHOOL DIST,True
63975.0,b'117  ',b'-1     ',488151000,70800000,273025000,144326000,545652000,257050000,29027.0,PK,12,1,3,alabama,0102370,MOBILE CO SCH DIST,True
4295.0,b'12   ',b'285.2  ',31222000,5139000,20244000,5839000,32125000,17274000,1824.0,PK,12,0,3,alabama,0102400,MONROE CO SCH DIST,True
31985.0,b'63   ',b'-1     ',240490000,34014000,136795000,69681000,234297000,133807000,6384.0,PK,12,1,3,alabama,0102430,MONTGOMERY CO SCH DIST,True
7687.0,b'18   ',b'-1     ',66445000,5032000,36592000,24821000,63620000,34262000,7270.0,PK,12,1,3,alabama,0102480,MORGAN CO SCH DIST,True
4247.0,b'6    ',b'333.5  ',46494000,804000,15392000,30298000,42721000,23934000,4188.0,KG,12,1,3,alabama,0102490,MOUNTAIN BROOK CITY SCHOOL DISTRICT,True
2574.0,b'7    ',b'171.7  ',20492000,1022000,11348000,8122000,20213000,11411000,2077.0,KG,12,1,3,alabama,0102520,MUSCLE SHOALS SCH DIST,True
1365.0,b'2    ',b'84.3   ',9270000,682000,5928000,2660000,8804000,4863000,1077.0,KG,12,1,3,alabama,0102550,ONEONTA CITY SCH DIST,True
4325.0,b'9    ',b'307.9  ',39708000,6068000,19298000,14342000,43878000,19924000,1448.0,PK,12,1,3,alabama,0102580,OPELIKA CITY SCHS,True
1386.0,b'3    ',b'88     ',10832000,1320000,6290000,3222000,10099000,5357000,1075.0,PK,12,0,3,alabama,0102610,OPP CITY SCH DIST,True
3897.0,b'6    ',b'-1     ',28193000,2054000,17586000,8553000,31173000,14068000,2894.0,PK,12,1,3,alabama,0102635,OXFORD CITY SCH DIST,True
2673.0,b'9    ',b'-1     ',20087000,2868000,12845000,4374000,20793000,10883000,1427.0,PK,12,2,3,alabama,0102640,OZARK CITY SCH DIST,True
4056.0,b'7    ',b'248    ',27842000,2946000,18099000,6797000,30289000,14740000,3502.0,PK,12,1,3,alabama,0102650,PELL CITY SCHOOL DIST,True
2094.0,b'4    ',b'138.5  ',17125000,4509000,10560000,2056000,17911000,9044000,18.0,KG,12,0,3,alabama,0102670,PERRY CO SCH DIST,True
5198.0,b'10   ',b'-1     ',41739000,6532000,23821000,11386000,41230000,21164000,1831.0,PK,12,1,3,alabama,0102700,PHENIX CITY SCH DIST,True
3240.0,b'10   ',b'-1     ',24206000,3915000,16195000,4096000,24926000,13620000,1110.0,PK,12,0,3,alabama,0102730,PICKENS CO SCH DIST,True
1004.0,b'3    ',b'64.9   ',7508000,1201000,4628000,1679000,7425000,3992000,833.0,KG,12,1,3,alabama,0102760,PIEDMONT CTY SCH DIST,True
2156.0,b'6    ',b'-1     ',18621000,3486000,10303000,4832000,19295000,9506000,1009.0,KG,12,2,3,alabama,0102790,PIKE CO SCH DIST,True
2304.0,b'6    ',b'179.4  ',17148000,2139000,10522000,4487000,17452000,9015000,1803.0,KG,12,0,3,alabama,0102820,RANDOLPH CO SCH DIST,True
1434.0,b'4    ',b'-1     ',12161000,1461000,6442000,4258000,11565000,5286000,772.0,KG,12,0,3,alabama,0102850,ROANOKE CITY SCH DIST,True
3696.0,b'8    ',b'248.6  ',27848000,3896000,17904000,6048000,27361000,15054000,2052.0,PK,12,1,3,alabama,0102880,RUSSELL CO SCH DIST,True
2399.0,b'4    ',b'157.4  ',18143000,1734000,10598000,5811000,17262000,9655000,1640.0,KG,12,0,3,alabama,0102910,RUSSELLVILLE CITY SCHOOLS,True
2747.0,b'6    ',b'205.9  ',24018000,1938000,12843000,9237000,21161000,12104000,2453.0,KG,12,2,3,alabama,0102940,SCOTTSBORO CITY SCH DIST,True
4268.0,b'13   ',b'-1     ',30258000,5909000,18597000,5752000,29451000,15902000,178.0,PK,12,2,3,alabama,0102970,SELMA CITY SCH DIST,True
1241.0,b'4    ',b'102.3  ',11514000,1884000,5878000,3752000,11568000,6554000,625.0,KG,12,1,3,alabama,0103000,SHEFFIELD CITY SCH DIST,True
23332.0,b'35   ',b'1603.6 ',226353000,12123000,97016000,117214000,189461000,100762000,19056.0,PK,12,1,3,alabama,0103030,SHELBY CO SCH DIST,True
7584.0,b'17   ',b'-1     ',51254000,5151000,32290000,13813000,63870000,27310000,6728.0,PK,12,1,3,alabama,0103062,ST CLAIR CO SCH DIST,True
