LEAID,NAME,cluster,label
1907710,CLINTON COMMUNITY SCH DIST,4,False
5505730,BLACK HAWK SCH DIST,0,False
2925530,PRAIRIE HOME SCH DIST R-5,4,False
5004580,HARWOOD UNION HIGH SCH DIST 19,2,False
5008940,WESTFORD TOWN SCH DIST,0,False
3400005,MORRIS-UNION JOINTURE COMM,2,False
1738550,TAMAROA SCHOOL DISTRICT 5,0,False
1704590,ATWOOD-HAMMOND COMMUNITY UNIT SCHOOL,4,False
0806240,GARFIELD SCH DIST R 2,4,False
3910001,VAN BUREN LOCAL SCHOOL DIST,2,False
3174430,NORFOLK CITY SCH DIST 2,4,False
1900009,COLFAX-MINGO COMMUNITY SCH DIST,4,False
3399911,,4,False
0400634,"ALLSPORT ENTERPRISES, INC.",0,False
1737650,STEELEVILLE COM UNIT SCHOOL DISTRICT,4,False
2900005,,4,False
0639000,TEMPLETON UNIFIED SCH,4,False
3900140,,4,True
1706000,BERKELEY SCHOOL DISTRICT 87,2,False
4213290,HOMER CENTER SCH DIST,4,False
2709440,COLD SPRING SCHOOL DIST,0,False
4820010,FRISCO INDEP SCH DISTRICT 905,2,False
0640260,TWO ROCK UNION ELEM SCH DIST,4,False
2791455,WEST CENTRAL EDUC DIST,4,False
2500027,,4,False
5506300,SOUTHWESTERN WI COMM SCH DIST,0,False
0804620,HINSDALE CO SCH DIST RE-1,2,False
3904955,SANDUSKY EDUCATIONAL SERVICE CENTER,2,True
1305580,WEBSTER CO SCH DIST,4,False
4400570,LINCOLN TOWN SCHS,2,False
3408190,LAKELAND HIGH SCH DIST,2,False
1731050,PECATONICA COM UNIT SCHOOL DISTRICT,4,False
4111040,SCIO SCHOOL DIST 95,0,False
4106780,GRANT ADMIN SCHOOL DIST 3,4,False
5002835,,4,True
5601460,BIG HORN CO SCHOOL DIST 2,0,False
2622320,MADISON SCHOOL DISTRICT,0,False
0507410,HARTFORD SCH DIST 94,0,False
3403510,CORBIN CITY SCHOOL DISTRICT,4,False
1000017,ACADEMY OF DOVER CHARTER SCHOOL,0,False
4219500,POCONO MT SCHOOL DISTRICT,2,False
4015720,JENKS SCH DIST 5,2,False
0402430,CREIGHTON ELEMENTARY SCHOOL DISTRICT,4,False
1100033,SASHA BRUCE PUBLIC CHARTER SCHOOL AG,2,True
3027180,VAN NORMAN ELEM DIST 15,4,False
3900520,,4,True
0899220,NORTHWEST COLORADO BOCES,4,False
3013800,HELENA FLATS ELEM DIST 15,4,False
0500028,STAR CITY SCH DIST 11,0,False
3623640,PORTVILLE CENTRAL SCH DIST,0,False
5507020,JANESVILLE SCHOOL DISTRICT,4,False
3904705,EVERGREEN LOCAL SCH DIST,4,False
4825410,KENEDY CO WIDE COMM SCH DISTRICT 901,2,False
1805450,LAKE CENTRAL SCH CORP,4,False
4004230,BETHEL SCH DIST 3,0,False
3409600,MANTUA TWP SCH DIST,4,False
3600001,DOLGEVILLE CENTRAL SCH,0,False
4807350,COLLEGE STATION IND SCH DISTRICT 901,2,False
2007800,JETMORE UNIF SCHOOL DIST 227,0,False
1800034,,4,False
1811700,UNION TWP SCH CORP,2,False
2628810,PORT HOPE SCH DIST 11,4,False
