LEAID,NAME,cluster,label
3904641,COLUMBIANA COUNTY ESC,2,False
4818300,EL PASO ISD,4,False
3905090,COLUMBIANA COUNTY,4,False
4104700,ESTACADA SD 108,4,False
4216530,NEW BRIGHTON AREA SD,0,False
4502460,HAMPTON 02,4,False
3600163,INTERNATIONAL LEADERSHIP CHARTER SCHOOL,4,False
0643380,YREKA UNION ELEMENTARY,4,False
2700122,METROPOLITAN LEARNING ALLIANCE,2,True
4810230,BIRDVILLE ISD,4,False
4901020,TINTIC DISTRICT,0,False
5103030,POWHATAN CO PBLC SCHS,4,False
2602520,ALLEN PARK PUBLIC SCHOOLS,0,False
0643410,YREKA UNION HIGH,4,False
3399939,AMHERST SAU OFFICE,1,False
1719200,HILLSBORO CUSD 3,4,False
5100072,LYNCHBURG CITY SECONDARY ALTERNATIVE,3,False
0640650,VALLE LINDO ELEMENTARY,0,False
4810320,BLANCO ISD,2,False
0691024,ORANGE COUNTY DEPARTMENT OF EDUCATION,4,False
2919410,MACON CO. R-I,4,False
2926040,RAYMONDVILLE R-VII,4,False
2508850,NORTHAMPTON,2,False
2314040,WOODVILLE SCHOOL DEPARTMENT,0,False
3000107,KIDS BEHAVIORAL HEALTH OF MONT,4,False
4000751,DEBORAH BROWN (CHARTER),0,False
0801920,"ACADEMY, SCHOOL DISTRICT NO. 20, IN THE COUNTY OF EL PASO AN",4,False
0641250,WALNUT CREEK ELEMENTARY,2,False
3900562,PROMISE ACADEMY,0,False
3000001,CHOUTEAU CO JOINT SERVICE,4,False
2721360,MONTGOMERY-LONSDALE SCHOOL DISTRICT,0,True
2700180,ROCHESTER OFF-CAMPUS CHARTER HIGH,0,False
3900284,EDUCATION ALTERNATIVES COMMUNITY SCHOOL,3,True
2700191,PILLAGER AREA CHARTER SCHOOL,0,False
0633630,ROSEVILLE JOINT UNION HIGH,2,False
4212480,JERSEY SHORE AREA SD,4,False
1300012,GRIFFIN RESA,2,False
3904361,BELPRE CITY,4,False
0601349,CONTRA COSTA SELPA,4,False
5004800,HYDE PARK SCHOOL DISTRICT,0,False
1740260,VIENNA SD 55,0,False
4015900,JUSTICE,4,False
4814880,COMO-PICKTON CISD,0,False
3408160,LAKEHURST,0,False
2913620,HANCOCK PLACE,4,False
0635880,SANTEE ELEMENTARY,4,False
0601356,EAST SAN GABRIEL VALLEY ROP,4,False
3300016,BARRINGTON SAU OFFICE,1,False
2700125,LAC QUI PARLE VALLEY SCHOOL DIST.,0,False
4214730,MARION CENTER AREA SD,4,False
1811580,TWIN LAKES SCHOOL CORP,4,False
3627240,SOUTH GLENS FALLS CENTRAL SCHOOL DISTRICT,4,False
2900577,PAIDEIA ACADEMY,0,True
3904560,ROSSFORD EXEMPTED VILLAGE,2,False
3004380,BOULDER ELEM,4,False
4700270,BLEDSOE COUNTY,0,False
